PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Meyers Leonard,POR,61,0.3,5.6,0.71,0.2,0.1,0.2,41.7,41.7
O.G. Anunoby,TOR,67,0.3,4.1,0.6,0.2,0.1,0.2,33.3,33.3
Jonathon Simmons,ORL,41,0.2,2.7,1.1,0.3,0.1,0.2,44.4,44.4
Dwight Powell,DAL,77,0.2,2.1,0.79,0.1,0,0.1,37.5,37.5
Ersan Ilyasova,MIL,67,0.3,3.7,0.65,0.2,0,0.2,23.1,23.1
Dewayne Dedmon,ATL,64,0.3,2.9,0.58,0.2,0.1,0.2,28.6,28.6
Wesley Matthews,IND,23,1,8.8,0.48,0.5,0.1,0.6,15.4,15.4
Alec Burks,CLE,34,0.3,2.6,0.91,0.3,0.1,0.3,44.4,44.4
Wilson Chandler,PHI,36,0.5,6.7,0.59,0.3,0.1,0.3,36.4,36.4
Mike Scott,LAC,52,0.3,6.4,0.59,0.2,0.1,0.3,30.8,30.8
Trevor Ariza,WAS,43,0.4,2.9,0.56,0.2,0,0.2,20,20
Joakim Noah,MEM,42,0.6,7.6,0.42,0.2,0.1,0.4,26.7,26.7
Marquese Chriss,CLE,27,0.4,5.3,0.9,0.3,0.1,0.2,60,60
Dragan Bender,PHX,46,0.3,5.1,0.69,0.2,0.1,0.2,42.9,42.9
Dario Saric,PHI,13,1,7.6,0.69,0.7,0.2,0.5,33.3,33.3
T.J. Warren,PHX,43,0.4,2.4,0.53,0.2,0.1,0.3,30.8,30.8
James Johnson,MIA,55,0.2,2.7,0.61,0.1,0.1,0.2,36.4,36.4
Mike Scott,PHI,27,0.6,7.5,0.5,0.3,0.1,0.4,25,25
Kevin Knox II,NYK,75,0.2,1.6,0.44,0.1,0.1,0.2,26.7,26.7
Justise Winslow,MIA,66,0.2,1,0.7,0.1,0,0.1,42.9,42.9
Bradley Beal,WAS,82,0.1,0.5,0.64,0.1,0,0.1,37.5,37.5
Henry Ellenson,NYK,17,0.9,15.4,0.44,0.4,0.2,0.8,21.4,21.4
John Wall,WAS,32,0.4,1.7,0.46,0.2,0.1,0.3,25,25
Jordan Bell,GSW,68,0.2,4.7,0.42,0.1,0,0.1,22.2,22.2
