PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Jordan Mickey,MIA,23,0.6,12,1.08,0.6,0.3,0.6,53.8,53.8
Courtney Lee,NYK,76,0.2,1.5,1.08,0.2,0.1,0.1,60,60
Frank Mason III,SAC,52,0.3,2.6,1.08,0.3,0.1,0.2,50,55
Michael Carter-Williams,CHA,52,0.3,4,1.08,0.3,0.1,0.2,54.5,54.5
Eric Gordon,HOU,69,0.2,1.2,1,0.2,0.1,0.2,41.7,45.8
Tony Allen,NOP,22,0.6,11.7,1,0.6,0.2,0.4,44.4,44.4
Garrett Temple,SAC,65,0.2,2.6,0.93,0.2,0.1,0.2,50,50
Klay Thompson,GSW,73,0.2,1.1,0.93,0.2,0.1,0.2,50,50
Danny Green,SAS,70,0.3,2.9,0.74,0.2,0.1,0.2,42.9,42.9
Tobias Harris,DET,48,0.4,2.5,0.7,0.3,0.1,0.4,33.3,36.1
Justin Holiday,CHI,72,0.3,2.5,0.61,0.2,0.1,0.3,31.6,31.6
Wesley Johnson,LAC,74,0.1,2.2,1.3,0.2,0.1,0.1,75,81.3
CJ Miles,TOR,70,0.1,1.5,1.3,0.2,0.1,0.1,75,81.3
Johnathan Motley,DAL,11,1,11.3,1.18,1.2,0.5,0.9,50,50
Juancho Hernangomez,DEN,25,0.5,14.8,1,0.5,0.2,0.4,60,60
Kris Dunn,CHI,52,0.3,1.5,1,0.3,0.1,0.2,50,50
Shaun Livingston,GSW,72,0.2,3.6,0.87,0.2,0.1,0.2,40,40
Avery Bradley,DET,40,0.4,2.2,0.87,0.3,0.2,0.4,42.9,42.9
Cory Joseph,IND,82,0.1,1.4,1.2,0.1,0.1,0.1,71.4,71.4
Tobias Harris,LAC,32,0.3,1.7,1.2,0.4,0.2,0.3,60,60
George Hill,SAC,43,0.2,2.3,1.2,0.3,0.1,0.2,66.7,66.7
D'Angelo Russell,BKN,48,0.2,1.3,1.09,0.3,0.1,0.2,44.4,55.6
James Harden,HOU,72,0.2,0.7,0.86,0.2,0.1,0.2,46.2,46.2
Darren Collison,IND,69,0.2,1.8,0.86,0.2,0.1,0.1,60,60
Evan Fournier,ORL,57,0.2,1.4,0.86,0.2,0.1,0.2,41.7,41.7
Marreese Speights,ORL,52,0.3,3.6,0.8,0.2,0.1,0.3,38.5,38.5
Justin Anderson,PHI,38,0.4,6.4,0.8,0.3,0.2,0.3,46.2,46.2
Malcolm Brogdon,MIL,48,0.3,2.5,0.8,0.3,0.1,0.3,46.2,46.2
Trevor Ariza,HOU,67,0.3,2.3,0.71,0.2,0.1,0.2,30.8,30.8
Alex Abrines,OKC,75,0.2,3.6,0.92,0.1,0.1,0.1,40,40
Frank Ntilikina,NYK,78,0.1,1.5,1,0.1,0.1,0.1,55.6,55.6
Quincy Acy,BKN,70,0.2,2.4,0.91,0.1,0,0.1,50,50
Kemba Walker,CHA,80,0.2,0.9,0.63,0.1,0.1,0.2,35.7,35.7
Kyle Collinsworth,DAL,33,0.5,11.4,0.63,0.3,0.2,0.5,33.3,33.3
James Ennis III,DET,27,0.4,6.1,0.75,0.3,0.1,0.4,40,40
Jack Cooley,SAC,7,1.9,31.7,0.69,1.3,0.4,1.4,30,30
Corey Brewer,LAL,54,0.3,6,0.64,0.2,0.1,0.2,30.8,30.8
Kent Bazemore,ATL,65,0.3,1.9,0.53,0.1,0,0.2,21.4,25
Jae Crowder,UTA,27,0.4,2.8,0.8,0.3,0.1,0.3,25,25
Marco Belinelli,ATL,52,0.2,1.7,0.8,0.2,0.1,0.2,44.4,44.4
Sindarius Thornwell,LAC,73,0.2,3.7,0.67,0.1,0.1,0.1,40,40
Tyler Johnson,MIA,72,0.2,1.5,0.61,0.1,0.1,0.2,33.3,33.3
Ish Smith,DET,82,0.1,1,0.6,0.1,0,0.1,37.5,37.5
Denzel Valentine,CHI,77,0.1,1.3,0.36,0.1,0,0.1,22.2,22.2
