LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
M. Barnes - M. Conley - J. Green - M. Gasol - C. Lee,MEM,26,199,101,105.6,-4.5,61.1,1.69,17.4,23.2,67.7,46,0.1,49.8,53.6,94.65,47.7,M. Barnes , M. Conley , J. Green , M. Gasol , C. Lee,
K. Bryant - L. Williams - R. Hibbert - J. Clarkson - J. Randle,LAL,33,198,94.6,118.9,-24.3,46.1,1.05,12.5,23.7,69.2,46.8,0.2,45,50.4,99.93,35.1,K. Bryant , L. Williams , R. Hibbert , J. Clarkson , J. Randle,
D. Howard - T. Ariza - J. Harden - P. Beverley - C. Capela,HOU,22,197,108.5,100.3,8.2,55.3,1.2,15.3,39.5,77.1,57.9,0.2,51.5,55.1,94.49,54.2,D. Howard , T. Ariza , J. Harden , P. Beverley , C. Capela,
J. Johnson - A. Stoudemire - D. Wade - L. Deng - G. Dragic,MIA,16,197,118.1,109.1,9.1,57.4,2,20.2,26.1,71.7,51.5,0.1,60.1,62.9,94.01,56.5,J. Johnson , A. Stoudemire , D. Wade , L. Deng , G. Dragic,
M. Gortat - J. Wall - M. Morris - B. Beal - O. Porter Jr.,WAS,18,197,108.7,100,8.7,67.4,1.9,20.3,25.6,78.1,52.8,0.1,53.7,56.6,101.26,55.2,M. Gortat , J. Wall , M. Morris , B. Beal , O. Porter Jr.,
G. Henderson - E. Davis - M. Leonard - A. Crabbe - C. McCollum,POR,34,194,105.1,102.3,2.9,58.9,1.82,18,20.1,80.2,50.8,0.1,53.6,56.5,98.1,50.6,G. Henderson , E. Davis , M. Leonard , A. Crabbe , C. McCollum,
K. Faried - G. Harris - J. Sampson - N. Jokic - E. Mudiay,DEN,14,193,114.4,102.8,11.6,66.9,1.82,20.5,32.6,75.8,55.3,0.2,55.4,58.4,95.58,55.6,K. Faried , G. Harris , J. Sampson , N. Jokic , E. Mudiay,
L. Deng - G. Dragic - H. Whiteside - J. Winslow - J. Richardson,MIA,22,190,109,104.6,4.4,59.8,1.91,17.9,35.9,72.7,55.1,0.1,53.7,56.1,99.87,57.4,L. Deng , G. Dragic , H. Whiteside , J. Winslow , J. Richardson,
J. Crawford - W. Johnson - C. Aldrich - A. Rivers - P. Prigioni,LAC,23,187,87.3,106.7,-19.4,57.8,1.21,14.9,21.4,61.8,40.3,0.2,45.5,49.4,99.13,36.5,J. Crawford , W. Johnson , C. Aldrich , A. Rivers , P. Prigioni,
T. Parker - D. West - L. Aldridge - D. Green - K. Leonard,SAS,25,185,103.8,98.7,5.2,59.1,2.41,18.9,21.5,76.1,48.5,0.1,50.4,52.9,95.56,52.8,T. Parker , D. West , L. Aldridge , D. Green , K. Leonard,
R. Gay - R. Rondo - O. Casspi - D. Cousins - B. McLemore,SAC,23,178,105.4,100.5,4.9,60.4,1.48,18.7,25.7,76.4,52.4,0.2,54.8,56.7,104.58,51.5,R. Gay , R. Rondo , O. Casspi , D. Cousins , B. McLemore,
T. Sefolosha - A. Horford - M. Scott - D. Schroder - T. Hardaway Jr.,ATL,39,178,103,85.4,17.6,69.7,2.41,20,22.5,71.6,48.9,0.1,52.4,55.7,98.98,62.4,T. Sefolosha , A. Horford , M. Scott , D. Schroder , T. Hardaway Jr.,
T. Chandler - P. Tucker - E. Bledsoe - B. Knight - M. Morris,PHX,13,177,104.6,98.4,6.2,46.6,1.26,14,26,78.4,51.8,0.1,51.1,54.6,100.85,51.8,T. Chandler , P. Tucker , E. Bledsoe , B. Knight , M. Morris,
A. Aminu - D. Lillard - M. Leonard - C. McCollum - M. Plumlee,POR,22,175,115,111.4,3.7,62.4,1.96,18.6,19.6,74.1,47.8,0.1,56.3,60.4,97.97,48.8,A. Aminu , D. Lillard , M. Leonard , C. McCollum , M. Plumlee,
A. Iguodala - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,37,172,135.1,94.9,40.2,65.9,2.22,21.6,28.9,67.6,52.8,0.1,72.3,75,110.31,73.3,A. Iguodala , S. Curry , K. Thompson , H. Barnes , D. Green,
A. Tolliver - M. Morris - R. Jackson - A. Drummond - K. Caldwell-Pope,DET,45,169,104,93.8,10.2,37.3,1.51,11.5,29.4,71.2,49.3,0.1,50,51.8,100.04,52.1,A. Tolliver , M. Morris , R. Jackson , A. Drummond , K. Caldwell-Pope,
Z. Randolph - T. Allen - M. Conley - J. Green - M. Gasol,MEM,18,167,94.6,108.5,-13.9,47.9,1.1,13.6,28.3,69.1,48.1,0.2,46.5,50,91.23,43.4,Z. Randolph , T. Allen , M. Conley , J. Green , M. Gasol,
N. Vucevic - T. Harris - E. Fournier - V. Oladipo - E. Payton,ORL,19,165,90.7,103.3,-12.6,64.2,1.51,16.6,26.7,74.7,50.6,0.1,43.3,47.8,98.76,43.4,N. Vucevic , T. Harris , E. Fournier , V. Oladipo , E. Payton,
L. James - J. Smith - K. Love - T. Mozgov - M. Dellavedova,CLE,35,163,105,106.4,-1.4,61.4,1.56,17.8,25.4,73.4,51.4,0.2,55.3,57.8,96.25,49,L. James , J. Smith , K. Love , T. Mozgov , M. Dellavedova,
A. Jefferson - M. Williams - N. Batum - K. Walker - P. Hairston,CHA,14,162,111.4,100.6,10.8,57.6,2.42,18.3,20.7,78.6,48.8,0.1,52.6,55.7,96.63,52.9,A. Jefferson , M. Williams , N. Batum , K. Walker , P. Hairston,
S. Blake - A. Tolliver - M. Morris - A. Baynes - S. Johnson,DET,27,160,105.1,90.3,14.8,55.1,1.4,16.6,25.3,80.1,52.8,0.2,54.1,56.4,94.96,57,S. Blake , A. Tolliver , M. Morris , A. Baynes , S. Johnson,
C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - W. Johnson,LAC,29,158,101.5,85.9,15.6,63.3,1.9,17.4,20.4,67.7,45.3,0.1,50.7,54,100.2,61.3,C. Paul , J. Redick , D. Jordan , L. Mbah a Moute , W. Johnson,
A. Iguodala - A. Bogut - S. Curry - K. Thompson - D. Green,GSW,46,156,119.8,86.5,33.3,71.9,1.89,21.8,25,67.4,50.3,0.2,66.1,67.8,102.73,69.4,A. Iguodala , A. Bogut , S. Curry , K. Thompson , D. Green,
M. Ellis - G. Hill - J. Hill - P. George - M. Turner,IND,25,156,98.8,103.7,-4.9,56.8,1.42,17.2,25.5,68.2,47,0.2,52.2,54.1,99.87,47.7,M. Ellis , G. Hill , J. Hill , P. George , M. Turner,
C. Paul - J. Redick - D. Jordan - B. Griffin - L. Stephenson,LAC,16,155,117,98.8,18.2,63.1,2.24,21.1,20.7,70.9,49.5,0.1,60.2,61.6,100.26,63.9,C. Paul , J. Redick , D. Jordan , B. Griffin , L. Stephenson,
T. Young - B. Lopez - W. Ellington - D. Sloan - B. Bogdanovic,BKN,18,155,99,106.4,-7.3,55,1.61,16.2,18,67.9,43.9,0.1,49.2,53.3,97.23,45.7,T. Young , B. Lopez , W. Ellington , D. Sloan , B. Bogdanovic,
D. Wade - L. Deng - G. Dragic - H. Whiteside - J. Winslow,MIA,31,154,98.8,90.7,8.1,43.8,1.14,13.1,29.7,72.3,52.1,0.1,49.8,53.9,102.54,59.2,D. Wade , L. Deng , G. Dragic , H. Whiteside , J. Winslow,
L. James - M. Williams - J. Smith - K. Love - T. Mozgov,CLE,15,154,104.2,102.9,1.3,62.5,1.43,18.5,30.1,77.3,54.3,0.2,53.8,55.7,95.94,50.8,L. James , M. Williams , J. Smith , K. Love , T. Mozgov,
L. Scola - K. Lowry - D. DeRozan - J. Valanciunas - N. Powell,TOR,15,150,101.1,108,-7,50.9,1.06,14.8,31.3,82.8,57.1,0.2,50.8,54.3,91.14,43.9,L. Scola , K. Lowry , D. DeRozan , J. Valanciunas , N. Powell,
P. Gasol - D. Rose - T. Gibson - N. Mirotic - J. Butler,CHI,11,146,110.8,111.8,-1,55.8,1.57,18,27,68.9,50.5,0.2,55.6,59.2,97.34,51.9,P. Gasol , D. Rose , T. Gibson , N. Mirotic , J. Butler,
K. Martin - N. Bjelica - G. Dieng - S. Muhammad - Z. LaVine,MIN,19,144,95.1,95.5,-0.3,55.1,1.06,13.8,20.7,75.5,49.1,0.2,45.7,53.3,103.31,49.9,K. Martin , N. Bjelica , G. Dieng , S. Muhammad , Z. LaVine,
