LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
M. Barnes - T. Allen - M. Conley - J. Green - M. Gasol,MEM,11,56,111.4,99.2,12.2,56.3,1.8,17.4,26.8,77.6,52.6,0.1,52.5,56.4,99.58,52.9,M. Barnes , T. Allen , M. Conley , J. Green , M. Gasol,
S. Livingston - A. Bogut - S. Curry - K. Thompson - D. Green,GSW,20,56,134.2,94.9,39.3,67.3,2.06,20,43.4,78.6,61.5,0.1,59.8,65.6,101.33,71.6,S. Livingston , A. Bogut , S. Curry , K. Thompson , D. Green,
T. Sefolosha - P. Millsap - T. Splitter - K. Bazemore - D. Schroder,ATL,17,56,115,80,35,61.7,1.53,18,33.3,64.8,51,0.2,58.6,64.3,101.98,75.1,T. Sefolosha , P. Millsap , T. Splitter , K. Bazemore , D. Schroder,
Z. Pachulia - R. Felton - D. Williams - W. Matthews - D. Powell,DAL,23,56,85.6,96.8,-11.2,52.8,0.95,12.5,26.3,80.4,53.1,0.2,43.5,49.5,105.04,39.3,Z. Pachulia , R. Felton , D. Williams , W. Matthews , D. Powell,
A. Jefferson - N. Batum - J. Lin - J. Lamb - F. Kaminsky,CHA,15,55,88.7,114.2,-25.5,63.2,2.18,16.2,16.4,80.9,44.4,0.1,45.2,48,99.46,36.5,A. Jefferson , N. Batum , J. Lin , J. Lamb , F. Kaminsky,
D. Favors - G. Hayward - A. Burks - R. Gobert - R. Hood,UTA,10,55,121.3,108.1,13.2,51,1.79,17.4,32.5,74,55.6,0.1,60.5,65.7,96.39,59.3,D. Favors , G. Hayward , A. Burks , R. Gobert , R. Hood,
G. Henderson - A. Aminu - E. Davis - A. Crabbe - C. McCollum,POR,16,55,109.3,113.4,-4.1,36.2,0.94,10.6,46.7,76,60,0.2,48.6,54,101.24,49.1,G. Henderson , A. Aminu , E. Davis , A. Crabbe , C. McCollum,
K. Bryant - L. Williams - R. Hibbert - J. Randle - D. Russell,LAL,24,55,99.1,128.9,-29.8,50,1.73,13.3,19.3,63.3,39.6,0.1,46.2,51.9,98.7,31.6,K. Bryant , L. Williams , R. Hibbert , J. Randle , D. Russell,
R. Rondo - M. Belinelli - K. Koufos - O. Casspi - D. Cousins,SAC,16,55,107.9,90.4,17.5,79.6,1.95,22,28.3,78.3,58.3,0.2,59.2,63.8,109.33,68.5,R. Rondo , M. Belinelli , K. Koufos , O. Casspi , D. Cousins,
R. Westbrook - S. Ibaka - D. Waiters - A. Roberson - S. Adams,OKC,17,55,94.1,102.5,-8.5,54.8,1.28,14.3,30.9,75.6,48.7,0.2,42.9,47.3,103.11,38.5,R. Westbrook , S. Ibaka , D. Waiters , A. Roberson , S. Adams,
D. Augustin - D. Arthur - W. Barton - J. Lauvergne - G. Harris,DEN,12,54,98.3,125.6,-27.3,62.2,1.33,17.9,24,68.2,44.7,0.2,54.9,57.5,104.89,37.3,D. Augustin , D. Arthur , W. Barton , J. Lauvergne , G. Harris,
D. West - B. Diaw - P. Mills - J. Simmons - K. Anderson,SAS,11,54,109.7,98.3,11.5,52.9,1.69,18.1,23.4,72.7,50,0.1,56.3,59.7,102.1,56.2,D. West , B. Diaw , P. Mills , J. Simmons , K. Anderson,
E. Ilyasova - M. Morris - R. Jackson - A. Baynes - K. Caldwell-Pope,DET,20,54,98.3,106.6,-8.3,44.4,0.95,12.7,31.7,65.4,47.3,0.2,47.6,51.7,107.05,38.6,E. Ilyasova , M. Morris , R. Jackson , A. Baynes , K. Caldwell-Pope,
J. Crawford - C. Paul - J. Redick - D. Jordan - L. Mbah a Moute,LAC,17,54,125.7,116.5,9.2,50,2.3,17.3,13.2,74.4,45.7,0.1,70.7,71.3,92.59,56.2,J. Crawford , C. Paul , J. Redick , D. Jordan , L. Mbah a Moute,
J. Terry - D. Howard - T. Ariza - C. Brewer - J. Harden,HOU,15,54,117.5,92.9,24.6,53.5,1.05,15.5,27.3,78.8,55.2,0.2,61.7,66.8,100.42,66.9,J. Terry , D. Howard , T. Ariza , C. Brewer , J. Harden,
P. Tucker - E. Bledsoe - B. Knight - M. Morris - A. Len,PHX,8,54,99.1,98.2,0.9,53.5,1.15,16,16.3,84,50.5,0.2,52.2,57.2,100.11,53.4,P. Tucker , E. Bledsoe , B. Knight , M. Morris , A. Len,
R. Gay - R. Rondo - M. Belinelli - O. Casspi - D. Cousins,SAC,21,54,100,90.9,9.1,73.8,1.94,19.5,13.5,76.4,45.8,0.1,55.4,59.5,108.06,58.3,R. Gay , R. Rondo , M. Belinelli , O. Casspi , D. Cousins,
T. Young - B. Lopez - B. Bogdanovic - S. Larkin - M. Brown,BKN,13,54,120.6,95.3,25.2,65.9,2.07,19,35.4,70.4,53.9,0.1,53.9,59.8,95.44,62,T. Young , B. Lopez , B. Bogdanovic , S. Larkin , M. Brown,
A. Aminu - E. Davis - D. Lillard - M. Leonard - A. Crabbe,POR,28,53,94,102.6,-8.6,66.7,1.3,18.5,30.4,82.4,55.1,0.2,54.2,54.3,104.15,42.5,A. Aminu , E. Davis , D. Lillard , M. Leonard , A. Crabbe,
A. Johnson - A. Bradley - I. Thomas - J. Crowder - K. Olynyk,BOS,14,53,111.4,103.6,7.8,68,2.62,21.4,23.1,65.5,45.5,0.1,55.9,58.1,102.36,57.5,A. Johnson , A. Bradley , I. Thomas , J. Crowder , K. Olynyk,
L. Barbosa - S. Livingston - A. Iguodala - H. Barnes - F. Ezeli,GSW,13,53,91.7,100.9,-9.2,62.2,1.44,15.3,29.5,66.7,46.4,0.1,42.8,47.1,98.7,44.4,L. Barbosa , S. Livingston , A. Iguodala , H. Barnes , F. Ezeli,
R. Felton - D. Williams - D. Lee - W. Matthews - C. Parsons,DAL,10,53,104.6,99.1,5.5,52.2,1.5,16.7,26.1,78.9,55.3,0.1,54.9,57.6,100.08,50.3,R. Felton , D. Williams , D. Lee , W. Matthews , C. Parsons,
A. Tolliver - B. Jennings - M. Morris - A. Drummond - S. Johnson,DET,10,52,105.6,96.3,9.3,39,1.07,12.1,20.4,76.4,50,0.1,54.7,57.7,98.94,56.5,A. Tolliver , B. Jennings , M. Morris , A. Drummond , S. Johnson,
C. Anthony - J. Calderon - R. Lopez - K. Porzingis - L. Galloway,NYK,17,52,90.6,84.6,6,61.1,1.1,15.3,34,70.1,54.2,0.2,44.9,50,96.62,55.8,C. Anthony , J. Calderon , R. Lopez , K. Porzingis , L. Galloway,
D. Favors - G. Hayward - T. Booker - S. Mack - R. Hood,UTA,11,52,99.1,103.8,-4.7,65.9,1.26,19,34.7,79.6,58.3,0.2,53.9,55.1,97.45,47.8,D. Favors , G. Hayward , T. Booker , S. Mack , R. Hood,
K. Korver - A. Horford - M. Scott - K. Bazemore - D. Schroder,ATL,21,52,106.3,96.5,9.8,71.7,3.3,21.2,21.1,63,41.4,0.1,51.5,54.7,103.9,55,K. Korver , A. Horford , M. Scott , K. Bazemore , D. Schroder,
L. Williams - R. Hibbert - J. Clarkson - J. Randle - A. Brown,LAL,6,52,102,110.7,-8.7,53.8,2.63,15.7,20,85.4,50.5,0.1,45.1,50.3,94.65,46.6,L. Williams , R. Hibbert , J. Clarkson , J. Randle , A. Brown,
N. Collison - D. Augustin - E. Kanter - K. Singler - D. Waiters,OKC,6,52,90.5,92.4,-1.9,60,1.11,14.7,30.9,78.4,53.8,0.2,43.2,48.2,97.03,47.7,N. Collison , D. Augustin , E. Kanter , K. Singler , D. Waiters,
N. Vucevic - T. Harris - A. Nicholson - V. Oladipo - E. Payton,ORL,11,52,104.6,107.5,-2.9,51.3,1.25,13.6,33.9,73.2,53.6,0.1,46.1,53.4,99.5,49.6,N. Vucevic , T. Harris , A. Nicholson , V. Oladipo , E. Payton,
R. Hibbert - J. Clarkson - J. Randle - A. Brown - D. Russell,LAL,9,52,101.8,112.5,-10.7,52.5,1.4,14.8,24.5,82,52.4,0.1,47.8,53.9,98.41,43.6,R. Hibbert , J. Clarkson , J. Randle , A. Brown , D. Russell,
Z. Randolph - C. Andersen - M. Barnes - M. Conley - P. Hairston,MEM,5,52,102,117.2,-15.2,46.2,1.38,13.7,27.5,67.5,45.1,0.1,47.7,52.3,91.93,38.9,Z. Randolph , C. Andersen , M. Barnes , M. Conley , P. Hairston,
H. Thompson - I. Canaan - J. Grant - T. McConnell - R. Holmes,PHI,13,51,111,101.9,9.1,61.7,1.81,19.2,30.6,55.7,44.5,0.1,59.4,60.4,100.43,59,H. Thompson , I. Canaan , J. Grant , T. McConnell , R. Holmes,
I. Smith - H. Thompson - N. Noel - R. Covington - J. Grant,PHI,11,51,121.1,87.5,33.6,68,2.27,21.8,34,63.6,51.3,0.1,62.9,64,104.04,66.8,I. Smith , H. Thompson , N. Noel , R. Covington , J. Grant,
K. Durant - R. Westbrook - S. Ibaka - A. Morrow - S. Adams,OKC,18,51,107.9,113.9,-6,64.6,1.35,19.7,30.2,70.4,52.6,0.2,60.1,62.6,107.87,49.9,K. Durant , R. Westbrook , S. Ibaka , A. Morrow , S. Adams,
M. Ginobili - D. West - B. Diaw - P. Mills - K. Leonard,SAS,21,51,107.9,92,15.9,66.7,3.4,21.4,26.4,76,50.5,0.1,53.9,55.4,106.25,61.2,M. Ginobili , D. West , B. Diaw , P. Mills , K. Leonard,
Nene - J. Dudley - R. Sessions - G. Temple - B. Beal,WAS,14,51,102.9,113,-10.1,56.5,2,19.3,14,70.3,40,0.1,55.8,56.4,100.61,40.6,Nene , J. Dudley , R. Sessions , G. Temple , B. Beal,
R. Foye - D. Arthur - W. Barton - K. Papanikolaou - N. Jokic,DEN,8,51,115.6,83.7,32,57.1,1.2,17.9,41,74.5,60,0.2,60.9,64.3,91.01,74.4,R. Foye , D. Arthur , W. Barton , K. Papanikolaou , N. Jokic,
R. Gay - R. Rondo - K. Koufos - O. Casspi - B. McLemore,SAC,13,51,101.8,87.2,14.6,53.1,1.53,16.1,39.7,85,61.8,0.2,48.2,49.6,107.07,55.1,R. Gay , R. Rondo , K. Koufos , O. Casspi , B. McLemore,
T. Chandler - P. Tucker - B. Knight - M. Morris - D. Booker,PHX,6,51,81.4,101,-19.6,63.6,1.17,16,15.7,85.4,49.5,0.2,45,46.7,97.21,35.3,T. Chandler , P. Tucker , B. Knight , M. Morris , D. Booker,
E. Davis - M. Harkless - A. Crabbe - C. McCollum - N. Vonleh,POR,11,50,92.2,97.1,-5,57.1,1.18,14.7,29.1,70.6,49.1,0.2,44.9,48.9,99.75,44.4,E. Davis , M. Harkless , A. Crabbe , C. McCollum , N. Vonleh,
E. Gordon - R. Anderson - J. Holiday - N. Cole - A. Davis,NOP,11,50,109.2,104.7,4.5,57.5,1.44,15.9,24.5,73.6,49.1,0.1,51.1,57.5,102.83,50.9,E. Gordon , R. Anderson , J. Holiday , N. Cole , A. Davis,
I. Smith - N. Noel - I. Canaan - R. Covington - J. Grant,PHI,12,50,102.8,101.8,1,69.4,1.67,17.5,22,76.9,50,0.1,53.8,58.8,103.53,51.8,I. Smith , N. Noel , I. Canaan , R. Covington , J. Grant,
J. Johnson - G. Dragic - H. Whiteside - J. Winslow - J. Richardson,MIA,14,50,95,96.1,-1.1,52.9,1.06,13.7,31.1,64.2,49,0.2,49.4,53.2,97.68,51.8,J. Johnson , G. Dragic , H. Whiteside , J. Winslow , J. Richardson,
J. Nelson - D. Gallinari - K. Faried - G. Harris - N. Jokic,DEN,7,50,95.8,105.3,-9.5,71.9,2.09,16.8,32.3,88.2,52.1,0.1,41.2,45.6,91.44,38.8,J. Nelson , D. Gallinari , K. Faried , G. Harris , N. Jokic,
K. Humphries - T. Sefolosha - P. Millsap - D. Schroder - T. Hardaway Jr.,ATL,20,50,99,96,3,60,1.91,15.6,27.6,67.9,46.8,0.1,45.5,49.6,95.53,49.4,K. Humphries , T. Sefolosha , P. Millsap , D. Schroder , T. Hardaway Jr.,
L. Thomas - D. Williams - K. Porzingis - L. Galloway - J. Grant,NYK,18,50,82.9,91,-8.1,56.3,1.06,13.8,16.3,72.5,45,0.2,42.9,49.2,103.78,44.1,L. Thomas , D. Williams , K. Porzingis , L. Galloway , J. Grant,
M. Williams - S. Hawes - J. Lin - J. Lamb - C. Zeller,CHA,9,50,92.5,94.2,-1.8,67.6,1.25,17.7,22.9,71.2,49.5,0.2,51.2,54.3,100.73,54.7,M. Williams , S. Hawes , J. Lin , J. Lamb , C. Zeller,
N. Bjelica - G. Dieng - S. Muhammad - Z. LaVine - A. Wiggins,MIN,19,50,105,105.7,-0.7,55.3,1.17,15.6,30.4,70.5,50,0.2,52.5,56.6,99.83,47.6,N. Bjelica , G. Dieng , S. Muhammad , Z. LaVine , A. Wiggins,
N. Collison - A. Morrow - E. Kanter - D. Waiters - C. Payne,OKC,13,50,99,111.2,-12.3,51.5,1.31,12.9,35.7,62.2,47.5,0.1,44.2,49.4,93.12,41.9,N. Collison , A. Morrow , E. Kanter , D. Waiters , C. Payne,
