PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Hamidou Diallo,DET,58,1.3,11.4,0.81,1,0.4,1,44.8,45.7
Josh Hart,NOP,41,1.5,11.3,0.77,1.1,0.5,1.1,45.5,51.1
Rodney Hood,MIL,39,0.4,11.1,0.88,0.4,0.1,0.4,33.3,40
Svi Mykhailiuk,TOR,56,0.6,11,0.87,0.5,0.1,0.4,30.4,37
Saddiq Bey,DET,82,1.8,10.9,0.84,1.5,0.5,1.3,38.2,43.2
Josh Jackson,DET,39,0.9,10.9,0.82,0.7,0.3,0.6,50,54.2
Ignas Brazdeikis,ORL,42,0.6,10.9,0.92,0.5,0.2,0.5,43.5,47.8
Kyle Anderson,MEM,69,0.9,10.8,0.86,0.8,0.3,0.8,42.3,43.3
Aaron Wiggins,OKC,50,0.9,10.8,0.78,0.7,0.3,0.7,42.9,44.3
Austin Reaves,LAL,61,0.7,10.6,0.95,0.7,0.2,0.4,45.8,45.8
Frank Jackson,DET,53,1.1,10.5,0.68,0.8,0.3,1,31.4,36.3
De'Andre Hunter,ATL,53,1.4,10.3,0.88,1.2,0.5,1.1,43.3,45.8
Jerami Grant,DET,47,2,10.3,0.71,1.4,0.5,1.5,36.2,37
Austin Rivers,DEN,67,0.6,10.2,0.58,0.4,0.1,0.5,28.1,29.7
Matt Thomas,CHI,40,0.4,10,1.33,0.5,0.2,0.3,58.3,79.2
Kent Bazemore,LAL,39,0.4,10,0.47,0.2,0.1,0.4,21.4,28.6
Danuel House Jr.,HOU,16,0.6,9.9,0.8,0.5,0.2,0.3,60,60
Miles Bridges,CHA,80,1.9,9.8,1.02,1.9,0.7,1.4,50.9,55.3
Patty Mills,BKN,81,1.1,9.8,0.64,0.7,0.3,0.9,30.6,37.5
Keljin Blevins,POR,31,0.4,9.8,0.69,0.3,0.1,0.3,33.3,38.9
Harrison Barnes,SAC,77,1.3,9.2,0.85,1.1,0.3,0.9,35.7,40
Grayson Allen,MIL,66,0.9,9.2,0.9,0.8,0.3,0.8,40,50
Cody Martin,CHA,71,0.7,9.1,0.54,0.4,0.2,0.5,31.4,32.9
Bryn Forbes,DEN,35,0.7,8.9,1.04,0.7,0.3,0.6,42.9,47.6
Marcus Morris Sr.,LAC,54,1.3,8.8,0.83,1.1,0.4,1.1,40.4,43.9
Troy Brown Jr.,CHI,66,0.4,8.5,0.64,0.2,0.1,0.3,31.8,36.4
David Duke Jr.,BKN,22,0.5,7.9,0.2,0.1,0,0.3,14.3,14.3
Avery Bradley,LAL,62,0.5,7.8,0.97,0.5,0.2,0.5,42.9,51.8
CJ Elleby,POR,58,0.5,7.8,0.55,0.3,0.1,0.4,32,34
Garrett Temple,NOP,59,0.5,7.6,0.44,0.2,0.1,0.3,20,20
Duncan Robinson,MIA,79,0.8,7.5,1.15,0.9,0.3,0.6,44.9,63.3
Klay Thompson,GSW,32,1.5,7.5,1.21,1.8,0.7,1.3,48.8,65.1
Doug McDermott,SAS,51,0.8,7.4,0.97,0.7,0.3,0.7,41.2,52.9
O.G. Anunoby,TOR,48,1.3,7.3,0.7,0.9,0.4,1.1,34.6,40.4
Darius Bazley,OKC,69,0.9,7.3,0.68,0.6,0.2,0.6,32.6,36
Chuma Okeke,ORL,70,0.7,7.1,0.7,0.5,0.2,0.6,28.2,32.1
Ziaire Williams,MEM,62,0.5,7,0.94,0.5,0.2,0.5,48.3,51.7
Giannis Antetokounmpo,MIL,67,1.8,6.7,0.92,1.7,0.6,1.3,42,45.5
Kelly Oubre Jr.,CHA,76,0.9,6.6,0.66,0.6,0.3,0.8,32.3,33.9
James Johnson,BKN,62,0.4,6.6,1.2,0.5,0.2,0.3,61.9,64.3
Bojan Bogdanovic,UTA,69,1,6.3,1.1,1.1,0.4,0.8,50,53.8
Nassir Little,POR,42,0.6,6.1,1.25,0.7,0.2,0.4,56.3,65.6
Danilo Gallinari,ATL,66,0.6,6,0.64,0.4,0.2,0.6,28.9,32.9
Herbert Jones,NOP,78,0.6,6,0.51,0.3,0.1,0.4,29,29
Torrey Craig,IND,51,0.4,6,0.6,0.2,0.1,0.3,28.6,32.1
Romeo Langford,BOS,44,0.3,6,0.77,0.2,0.1,0.2,40,45
Juan Toscano-Anderson,GSW,73,0.3,5.7,0.63,0.2,0.1,0.2,41.7,45.8
Scottie Barnes,TOR,74,0.9,5.6,1.12,1,0.4,0.7,58,60
